case_file,params,max_load,exec_time
case1.txt,5 3 2,4,0.0010
case10.txt,100 20 3,16,0.0040
case2.txt,200 30 3,21,0.0060
case3.txt,700 70 3,31,0.0210
case4.txt,900 90 3,31,0.0390
case5.txt,900 90 3,31,0.0330
case6.txt,10 5 2,4,0.0000
case7.txt,400 40 3,31,0.0100
case8.txt,1000 100 3,31,0.0450
case9.txt,500 40 3,38,0.0120
