case_file,params,max_load,exec_time
case1.txt,5 3 2,4.0,0.0550
case10.txt,100 20 3,15.0,0.1150
case2.txt,200 30 3,20.0,0.1880
case3.txt,700 70 3,30.0,1.0430
case4.txt,900 90 3,30.0,2.4050
case5.txt,900 90 3,30.0,1.7270
case6.txt,10 5 2,4.0,0.0250
case7.txt,400 40 3,30.0,0.5620
case8.txt,1000 100 3,30.0,1.9910
case9.txt,500 40 3,38.0,1.5920
